Category,Households by Income (Percent) 1,Households by Income (Percent) 2,Households by Income (Percent) 3
"Under $15,000",5.71,13.47,8.36
"$15,000 - $24,999",4.45,10.06,8.17
"$25,000 - $34,999",4.93,9.86,8.65
"$35,000 - $49,999",7,13.64,12.97
"$50,000 - $74,999",12.08,17.6,18.09
"$75,000 - $99,999",10.83,11.95,13.86
"$100,000 - $124,999",10.52,8.36,10.21
"$125,000 - $149,999",9.4,5.46,6.9
"$150,000 - $199,999",12.33,4.87,6.39
"$200,000 - $249,999",7,2.09,2.79
"$250,000 - $499,999",10.09,1.95,2.59
"$500,000.00",5.67,0.7,1.02
